"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
1;"Mossâmedes";"Municipal";17/08/11;"GO";"Mossâmedes";1;"SIM";"FINALIZADO";18;14;8;0;0;40;3;5;6;6;20;3;1;1;5
2;"Nossa Senhora do Socorro";"Municipal";19/08/11;"SE";"Nossa Senhora do Socorro";1;"SIM";"FINALIZADO";68;29;5;20;5;127;3;7;7;3;20;6;2;2;10
3;"Rio Preto da Eva";"Municipal";20/08/11;"AM";"Rio Preto da Eva";1;"SIM";"FINALIZADO";43;37;3;15;10;108;5;5;5;5;20;3;2;1;6
4;"Estância";"Municipal";26/08/11;"SE";"Estância";1;"SIM";"FINALIZADO";32;24;5;5;10;76;3;5;5;7;20;6;2;2;10
5;"Mulungu";"Municipal";26/08/11;"CE";"Mulungu";1;"SIM";"FINALIZADO";130;16;8;0;0;154;1;1;2;2;6;2;1;0;3
6;"Palmeirópolis";"Regional";26/08/11;"TO";"Palmeirópolis, Jaú do Tocantins,  Peixe, São Salvador do Tocantins, São Valério da Natividade ";5;"SIM";"FINALIZADO";31;40;25;7;15;118;5;6;5;4;20;2;2;1;5
7;"Vespasiano";"Municipal";31/08/11;"MG";"Vespasiano";1;"SIM";"FINALIZADO";67;53;10;27;0;157;5;5;5;5;20;6;3;1;10
8;"Campinápolis";"Municipal";01/09/11;"MT";"Campinápolis";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
9;"Belo Campo ";"Municipal";01/09/11;"BA";"Belo Campo ";1;"SIM";"FINALIZADO";15;8;5;9;3;40;1;1;1;1;4;1;1;1;3
10;"Botuporã";"Municipal";01/09/11;"BA";"Botuporã";1;"SIM";"FINALIZADO";5;5;30;61;59;160;2;2;1;1;6;1;1;0;2
11;"Bujaru";"Municipal";01/09/11;"PA";"Bujaru";1;"SIM";"FINALIZADO";121;78;46;19;9;273;2;6;1;4;13;1;1;1;3
12;"Itaberaí";"Regional";02/09/11;"GO";"Itaberaí, Americano do Brasil, Araguapaz, Bela Vista de Goiás, Caldazinha, Caturaí, Goianira, Guapó, Heitoraí,  Itaguari, Itapuranga, Nerópolis, Nova Veneza, Sanclerlândia, São Luís de Montes Belos ";15;"SIM";"FINALIZADO";81;93;23;5;5;207;6;5;3;6;20;13;8;6;27
13;"Almas";"Regional";06/09/11;"TO";"Almas, Dianópolis, Novo Jardim, Ponte Alta do Bom Jesus, Porto Alegre do Tocantins, Rio da Conceição, Taguatinga, Taipas do Tocantins ";8;"SIM";"FINALIZADO";22;37;31;0;0;90;4;3;7;6;20;3;3;1;7
14;"Pacatuba";"Municipal";06/09/11;"SE";"Pacatuba";1;"SIM";"FINALIZADO";41;20;19;12;17;109;5;4;5;6;20;6;3;5;14
15;"Campo Grande ";"Livre";12/09/11;"MS";"Campo Grande - Univ. Anhanguera";0;"SIM";"FINALIZADO";9;30;6;0;0;45;1;5;1;3;10;0;0;0;0
16;"Acaraú";"Municipal";14/09/11;"CE";"Acaraú";1;"SIM";"FINALIZADO";22;70;20;0;0;112;5;5;5;5;20;12;6;2;20
17;"Laranjeiras";"Municipal";14/09/11;"SE";"Laranjeiras";1;"SIM";"FINALIZADO";28;64;4;0;0;96;5;3;5;7;20;6;3;2;11
18;"Poxoréu";"Municipal";15/09/11;"MT";"Poxoréu";1;"SIM";"FINALIZADO";40;45;20;15;10;130;5;5;5;5;20;0;1;0;1
19;"São Sebastião de Lagoa Roça";"Municipal";15/09/11;"PB";"São Sebastião de Lagoa Roça";1;"SIM";"FINALIZADO";20;54;17;5;0;96;5;4;6;5;20;1;1;0;2
20;"Fagundes";"Municipal";16/09/11;"PB";"Fagundes";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
21;"Peabiru";"Municipal";16/09/11;"PR";"Peabiru";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
22;"Itabaiana";"Livre";16/09/11;"SE";"Itabaiana";0;"SIM";"FINALIZADO";0;40;0;0;0;40;0;0;5;5;10;0;0;0;0
